N,P,K,temperature,humidity,ph,moisture,soil temp,crops,Fertilizer
90,42,43,20.87974371,82.00274423,4.502985292,30.4,25.6,rice,urea
85,58,41,21.77046169,80.31964408,5.038096361,30.5,25.7,rice,urea
60,55,44,23.00445915,82.3207629,4.840207144,30.4,25.6,rice,urea
74,35,40,26.49109635,80.15836264,4.980400905,30.5,25.5,rice,urea
78,42,42,20.13017482,81.60487287,4.628472891,30.6,25.4,rice,urea
69,37,42,23.05804872,83.37011772,5.073453503,30.7,25.6,rice,urea
69,55,38,22.70883798,82.63941394,4.70080568,30.6,25.7,rice,urea
94,53,40,20.27774362,82.89408619,4.718627178,30.7,25.8,rice,urea
89,54,38,24.51588066,83.5352163,4.685346424,30.8,25.9,rice,urea
68,58,38,23.22397386,83.03322691,5.336253525,30.7,26,rice,urea
91,53,40,26.52723513,81.41753846,5.386167788,30.8,25.9,rice,urea
90,46,42,23.97898217,81.45061596,5.50283396,30.9,25.8,rice,urea
78,58,44,26.80079604,80.88684822,5.108681786,30.7,23.7,rice,urea
93,56,36,24.01497622,82.05687182,4.98435366,31.4,23.6,rice,urea
94,50,37,25.66585205,80.66385045,4.94801983,47.4,19.4,rice,urea
60,48,39,24.28209415,80.30025587,5.042299069,47.5,19.5,rice,urea
85,38,41,21.58711777,82.7883708,5.249050656,47.6,19.6,rice,urea
91,35,39,23.79391957,80.41817957,4.970859754,47.7,19.7,rice,urea
77,38,36,21.8652524,80.1923008,4.953933276,47.8,19.6,rice,urea
88,35,40,23.57943626,83.58760316,4.85393208,37.7,19.7,rice,urea
89,45,36,21.32504158,80.47476396,5.442475375,47.8,19.7,rice,urea
76,40,43,25.15745531,83.11713476,5.070175667,47.7,19.8,rice,urea
67,59,41,21.94766735,80.97384195,5.012632591,47.8,19.7,rice,urea
83,41,43,21.0525355,82.67839517,5.254028451,47.9,19.6,rice,urea
98,47,37,23.48381344,81.33265073,5.375482851,47.8,19.6,rice,urea
66,53,41,25.0756354,80.52389148,5.778915154,47.9,19.5,rice,urea
97,59,43,26.35927159,84.04403589,5.286500176,47.8,19.6,rice,urea
97,50,41,24.52922681,80.54498576,5.070959995,47.7,19.5,rice,urea
60,49,44,20.77576147,84.49774397,5.244841491,47.6,19.4,rice,urea
84,51,35,22.30157427,80.64416466,5.043304899,47.7,19.5,rice,urea
73,57,41,21.44653958,84.94375962,4.824709117,47.8,19.6,rice,urea
92,35,40,22.17931888,80.33127223,5.357389366,47.9,19.7,rice,urea
85,37,39,24.52783742,82.73685569,5.364134968,48,19.8,rice,urea
98,53,38,20.26707606,81.63895217,5.01450727,48.1,19.7,rice,urea
88,54,44,25.7354293,83.88266234,5.149410611,48,19.8,rice,urea
95,55,42,26.79533926,82.1480873,4.950660556,47.9,19.7,rice,urea
99,57,35,26.75754171,81.17734011,4.960370061,47.8,19.6,rice,urea
95,39,36,23.86330467,83.15250801,5.561398642,47.7,19.5,rice,urea
60,43,44,21.01944696,82.95221726,5.416245107,47.8,19.6,rice,urea
63,44,41,24.17298839,83.7287574,5.583370042,47.9,19.7,rice,urea
62,42,36,22.78133816,82.06719137,5.430010215,48,19.6,rice,urea
64,45,43,25.62980105,83.52842314,5.534878156,47.9,19.7,rice,urea
83,60,36,25.59704938,80.14509262,4.903985986,47.8,19.8,rice,urea
82,40,40,23.83067496,84.81360127,5.271478838,47.9,19.7,rice,urea
85,52,45,26.31355498,82.36698992,5.224285503,47.8,19.8,rice,urea
91,35,38,24.8972823,80.52586088,5.13428721,47.9,19.7,rice,urea
76,49,42,24.958779,84.47963372,5.206373153,47.8,19.8,rice,urea
74,39,38,23.24113501,84.59201843,4.782051313,47.7,19.9,rice,urea
79,43,39,21.66628296,80.70960551,5.062779015,47.6,19.8,rice,urea
88,55,45,24.63544858,80.41363018,4.730367824,47.7,19.7,rice,urea
